Goroka,AYGA
Lake Manyara,HTLM
Mtwara,HTMT
Mwanza,HTMW
Pemba,HTPE
Tanga,HTTG
Zanzibar,HTZA
Entebbe Intl,HUEN
Dusseldorf Hauptbahnhof,\N
Soroti,HUSO
Tirana Rinas,LATI
Burgas,LBBG
Gorna Oryahovitsa,LBGO
Plovdiv,LBPD
Sofia,LBSF
Stara Zagora,LBSZ
Varna,LBWN
Larnaca,LCLK
Pafos Intl,LCPH
Akrotiri,LCRA
Dubrovnik,LDDU
Cepin,LDOC
Osijek,LDOS
Pula,LDPL
Grobnicko Polje,LDRG
Rijeka,LDRI
Split,LDSP
Varazdin,LDVA
Zagreb,LDZA
Zadar,LDZD
Udbina,LDZU
Albacete,LEAB
Alicante,LEAL
Almeria,LEAM
Asturias,LEAS
Cordoba,LEBA
Bilbao,LEBB
Barcelona,LEBL
Talavera La Real,LEBZ
A Coruna,LECO
Armilla,LEGA
Girona,LEGE
Granada,LEGR
Getafe,LEGT
Ibiza,LEIB
Jerez,LEJR
Murcia San Javier,LELC
Alexion,LGHL
Barajas,LEMD
Malaga,LEMG
Menorca,LEMH
Moron Ab,LEMO
Ocana,LEOC
Pamplona,LEPP
Alcantarilla,LERI
Reus,LERS
Rota Ns,LERT
Salamanca,LESA
Son Bonet,LESB
Palma De Mallorca,LESJ
San Luis,LESL
San Sebastian,LESO
Santiago,LEST
Seo De Urgel,LESU
Torrejon,LETO
Valencia,LEVC
Valladolid,LEVD
Cuatro Vientos,LEVS
Vitoria,LEVT
Vigo,LEVX
Santander,LEXJ
Zaragoza Ab,LEZG
Sevilla,LEZL
Calais Dunkerque,LFAC
Peronne St Quentin,LFAG
Les Loges,LFAI
Couterne,LFAO
Bray,LFAQ
Le Touquet Paris Plage,LFAT
Denain,LFAV
Glisy,LFAY
La Garenne,LFBA
Cazaux,LFBC
Merignac,LFBD
Roumaniere,LFBE
Francazal,LFBF
Chateaubernard,LFBG
Biard,LFBI
Montlucon Gueret,LFBK
Bellegarde,LFBL
Mont De Marsan,LFBM
Souche,LFBN
Blagnac,LFBO
Pau Pyrenees,LFBP
Lherm,LFBR
Lourdes,LFBT
Brie Champniers,LFBU
La Roche,LFBV
Bassillac,LFBX
Anglet,LFBZ
Lalbenque,LFCC
Antichan,LFCG
La Teste De Buch,LFCH
Le Sequestre,LFCI
Mazamet,LFCK
Lasbordes,LFCL
Larzac,LFCM
Montdragon,LFCQ
Marcillac,LFCR
Thalamy,LFCU
Villeneuve Sur Lot,LFCW
Medis,LFCY
Mimizan,LFCZ
Aire Sur L Adour,LFDA
Montauban,LFDB
Lamothe,LFDH
Artigues De Lussac,LFDI
Les Pujols,LFDJ
Virazeil,LFDM
St Agnant,LFDN
Pontivy,LFED
Aubigny Sur Nere,LFEH
Scaer,LFES
Ancenis,LFFI
Brienne Le Chateau,LFFN
Houssen,LFGA
Challanges,LFGF
Tavaux,LFGJ
Joigny,LFGK
Le Rozelier,LFGW
Ardeche Meridionale,LFHO
Loudes,LFHP
Coltines,LFHQ
Ceyzeriat,LFHS
Tarare,LFHV
Montbeugny,LFHY
Belmont,LFIF
Cassagnes Begonhes,LFIG
Metz Nancy Lorraine,LFJL
Poretta,LFKB
Saint Catherine,LFKC
Sud Corse,LFKF
Campo Dell Oro,LFKJ
Propriano,LFKO
Solenzara,LFKS
Corte,LFKT
Branches,LFLA
Aix Les Bains,LFLB
Auvergne,LFLC
Bourges,LFLD
Challes Les Eaux,LFLE
Champforgeuil,LFLH
Annemasse,LFLI
Saint Exupery,LFLL
Charnay,LFLM
Saint Yan,LFLN
Renaison,LFLO
Meythet,LFLP
Saint Geoirs,LFLS
Domerat,LFLT
Chabeuil,LFLU
Charmeil,LFLV
Aurillac,LFLW
Deols,LFLX
Bron,LFLY
Aix Les Milles,LFMA
Le Cannet,LFMC
Mandelieu,LFMD
Boutheon,LFMH
Le Tube,LFMI
Salvaza,LFMK
Provence,LFML
Cote D Azur,LFMN
Caritat,LFMO
Rivesaltes,LFMP
Le Castellet,LFMQ
Deaux,LFMS
Mediterranee,LFMT
Vias,LFMU
Caumont,LFMV
Salon,LFMY
Lezignan Corbieres,LFMZ
Brenoux,LFNB
Carpentras,LFNH
Avord,LFOA
Tille,LFOB
Chateaudun,LFOC
St Florent,LFOD
Fauville,LFOE
Octeville,LFOH
Abbeville,LFOI
Bricy,LFOJ
Vatry,LFOK
Vallee De Seine,LFOP
Val De Loire,LFOT
Le Pontreau,LFOU
Entrammes,LFOV
St Denis De L Hotel,LFOZ
Le Bourget,LFPB
Creil,LFPC
Charles De Gaulle,LFPG
Voisins,LFPK
Villaroche,LFPM
Toussus Le Noble,LFPN
Orly,LFPO
Cormeilles En Vexin,LFPT
Velizy,LFPV
Prunay,LFQA
Barberey,LFQB
Croismare,LFQC
Rouvres,LFQE
Bellevue,LFQF
Fourchambault,LFQG
Epinoy,LFQI
Elesmes,LFQJ
La Veze,LFQM
Bourscheid,LFQP
Lesquin,LFQQ
Calonne,LFQT
Charleville Mezieres,LFQV
Frotey,LFQW
Guipavas,LFRB
Maupertus,LFRC
Pleurtuit,LFRD
Escoublac,LFRE
Granville,LFRF
St Gatien,LFRG
Lann Bihoue,LFRH
Les Ajoncs,LFRI
Landivisiau,LFRJ
Carpiquet,LFRK
Poulmic,LFRL
Arnage,LFRM
St Jacques,LFRN
Lannion,LFRO
Pluguffan,LFRQ
Nantes Atlantique,LFRS
Armor,LFRT
Ploujean,LFRU
Meucon,LFRV
Montoir,LFRZ
Bale Mulhouse,LFSB
Meyenheim,LFSC
Longvic,LFSD
Frescaty,LFSF
Mirecourt,LFSG
Haguenau,LFSH
Robinson,LFSI
Courcelles,LFSM
Essey,LFSN
Ochey,LFSO
Pontarlier,LFSP
Champagne,LFSR
Entzheim,LFST
Saint Sauveur,LFSX
Pierrefeu,LFTF
Le Palyvestre,LFTH
Garons,LFTW
Miquelon,LFVM
St Pierre,LFVP
Amberieu,LFXA
Damblain,LFYD
Andravida,LGAD
Agrinion,LGAG
Dimokritos,LGAL
Alexandria,LGAX
Nea Anchialos,LGBL
Elefsis,LGEL
Chios,LGHI
Ioannina,LGIO
Nikos Kazantzakis,LGIR
Aristotelis,LGKA
Kithira,LGKC
Kefallinia,LGKF
Kalamata,LGKL
Amigdhaleon,LGKM
Kos,LGKO
Karpathos,LGKP
Ioannis Kapodistrias Intl,LGKR
Kasos,LGKS
Megas Alexandros Intl,LGKV
Filippos,LGKZ
Leros,LGLE
Limnos,LGLM
Larisa,LGLR
Megara,LGMG
Mikonos,LGMK
Mitilini,LGMT
Aktio,LGPZ
Maritsa,LGRD
Rhodes Diagoras,LGRP
Araxos,LGRX
Souda,LGSA
Alexandros Papadiamantis,LGSK
Samos,LGSM
Ashford,EGMK
Sparti,LGSP
Santorini,LGSR
Sitia,LGST
Stefanovikion,LGSV
Skiros,LGSY
Tanagra,LGTG
Kasteli,LGTL
Tripolis,LGTP
Makedonia,LGTS
Tatoi,LGTT
Dionysios Solomos,LGZA
Ferihegy,LHBP
Debrecen,LHDC
Kecskemet,LHKE
Nyiregyhaza,LHNY
Ocseny,LHOY
Door County Cherryland Airport,\N
Szentkiralyszabadja,LHSA
Szolnok,LHSN
Amendola,LIBA
Crotone,LIBC
Bari,LIBD
Gino Lisa,LIBF
Grottaglie,LIBG
Lecce,LIBN
Pescara,LIBP
Casale,LIBR
Gioia Del Colle,LIBV
Lamezia Terme,LICA
Catania Fontanarossa,LICC
Lampedusa,LICD
Pantelleria,LICG
Palermo,LICJ
Boccadifalco,LICP
Reggio Calabria,LICR
Trapani Birgi,LICT
Sigonella,LICZ
Alghero,LIEA
Decimomannu,LIED
Elmas,LIEE
Olbia Costa Smeralda,LIEO
Tortoli,LIET
Aeritalia,LIMA
Bresso,LIMB
Malpensa,LIMC
Bergamo Orio Al Serio,LIME
Torino,LIMF
Albenga,LIMG
Genova Sestri,LIMJ
Linate,LIML
Cameri,LIMN
Parma,LIMP
Piacenza,LIMS
Shoestring Aviation Airfield,\N
Levaldigi,LIMZ
Aviano Ab,LIPA
Bolzano,LIPB
Cervia,LIPC
Bologna,LIPE
Treviso,LIPH
Rivolto,LIPI
Forli,LIPK
Ghedi,LIPL
Verona Boscomantico,LIPN
Montichiari,LIPO
Ronchi Dei Legionari,LIPQ
Rimini,LIPR
Istrana,LIPS
Vicenza,LIPT
Padova,LIPU
Villafranca,LIPX
Venezia Tessera,LIPZ
Ampugnano,LIQS
Ciampino,LIRA
Pratica Di Mare,LIRE
Fiumicino,LIRF
Guidonia,LIRG
Marina Di Campo,LIRJ
Latina,LIRL
Grazzanise,LIRM
Capodichino,LIRN
Pisa,LIRP
Firenze,LIRQ
Grosseto,LIRS
Urbe,LIRU
Viterbo,LIRV
Perugia,LIRZ
Cerklje,LJCE
Ljubljana,LJLJ
Maribor,LJMB
Portoroz,LJPZ
Slovenj Gradec,LJSG
Ceske Budejovice,LKCS
Caslav,LKCV
Hradec Kralove,LKHK
Horovice,LKHV
Kbely,LKKB
Kunovice,LKKU
Karlovy Vary,LKKV
Plzen Line,LKLN
Mnichovo Hradiste,LKMH
Mosnov,LKMT
Namest,LKNA
Pardubice,LKPD
Pribram,LKPM
Prerov,LKPO
Ruzyne,LKPR
Turany,LKTB
Vodochody,LKVO
Ben Gurion,LLBG
Teyman,LLBS
Tel Nov,LLEK
Eyn Shemer,LLES
Eilat,LLET
En Yahav,LLEY
Haifa,LLHA
Hatzor,LLHS
Mahanaim I Ben Yaakov,LLIB
Megiddo,LLMG
I Bar Yehuda,LLMZ
Nevatim Ab,LLNV
Ovda,LLOV
Ramat David,LLRD
Ramon,LLRM
Sde Dov,LLSD
Luqa,LMML
Wiener Neustadt East,LOAN
Wels,LOLW
Graz,LOWG
Innsbruck,LOWI
Linz,LOWL
Salzburg,LOWS
Schwechat,LOWW
Klagenfurt,LOXK
Zeltweg,LOXZ
Alverca,LPAR
Santa Maria,LPAZ
Braganca,LPBG
Beja,LPBJ
Braga,LPBR
Coimbra,LPCO
Cascais,LPCS
Covilha,LPCV
Evora,LPEV
Flores,LPFL
Faro,LPFR
Graciosa,LPGR
Horta,LPHR
Lajes,LPLA
Monte Real,LPMR
Montijo,LPMT
Ovar,LPOV
Ponta Delgada,LPPD
Pico,LPPI
Portimao,LPPM
Porto,LPPR
Porto Santo,LPPS
Lisboa,LPPT
Sao Jorge,LPSJ
Sintra,LPST
Tancos,LPTN
Vila Real,LPVR
Viseu,LPVZ
Eastern Oregon Regional Airport,KPDT
Mostar,LQMO
Sarajevo,LQSA
Arad,LRAR
Bacau,LRBC
Tautii Magheraus,LRBM
Aurel Vlaicu,LRBS
Mihail Kogalniceanu,LRCK
Cluj Napoca,LRCL
Caransebes,LRCS
Craiova,LRCV
Iasi,LRIA
Oradea,LROD
Henri Coanda,LROP
Sibiu,LRSB
Satu Mare,LRSM
Stefan Cel Mare,LRSV
Cataloi,LRTC
Transilvania Targu Mures,LRTM
Traian Vuia,LRTR
Les Eplatures,LSGC
Geneva Cointrin,LSGG
Saanen,LSGK
Sion,LSGS
Alpnach,LSMA
Dubendorf,LSMD
Emmen,LSME
Mollis,LSMF
Meiringen,LSMM
Payerne,LSMP
Buochs,LSMU
Lugano,LSZA
Bern Belp,LSZB
Grenchen,LSZG
Zurich,LSZH
St Gallen Altenrhein,LSZR
Samedan,LSZS
Guvercinlik,LTAB
Esenboga,LTAC
Etimesgut,LTAD
Akinci,LTAE
Adana,LTAF
Incirlik Ab,LTAG
Afyon,LTAH
Antalya,LTAI
Oguzeli,LTAJ
Iskenderun,LTAK
Konya,LTAN
Tulga,LTAO
Merzifon,LTAP
Sivas,LTAR
Erhac,LTAT
Erkilet,LTAU
Sivrihisar,LTAV
Tokat,LTAW
Cardak,LTAY
Ataturk,LTBA
Balikesir,LTBF
Bandirma,LTBG
Tyonek Airport,\N
Eskisehir,LTBI
Adnan Menderes,LTBJ
Gaziemir,LTBK
Cigli,LTBL
Isparta,LTBM
Kutahya,LTBN
Yalova,LTBP
Topel,LTBQ
Dalaman,LTBS
Akhisar,LTBT
Riverton Regional,KRIW
Imsik,LTBV
Samandira,LTBX
Elazig,LTCA
Diyarbakir,LTCC
Erzincan,LTCD
Erzurum,LTCE
Trabzon,LTCG
Montrose Regional Airport,KMTJ
Van,LTCI
Batman,LTCJ
Siirt,LTCL
Kaklic,LTFA
Efes,LTFB
Balti Intl,LUBL
Chisinau Intl,LUKK
Ohrid,LWOH
Skopje,LWSK
Gibraltar,LXGB
Beograd,LYBE
Nis,LYNI
Podgorica,LYPG
Pristina,LYPR
Tivat,LYTV
Vrsac,LYVR
M R Stefanik,LZIB
Kosice,LZKZ
Malacky,LZMC
Piestany,LZPP
Sliac,LZSL
Trencin,LZTN
Tatry,LZTT
Clow International Airport,\N
North Caicos,MBNC
Providenciales,MBPV
South Caicos,MBSC
Arroyo Barril Intl,MDAB
Maria Montez Intl,MDBH
Cabo Rojo,MDCR
Casa De Campo Intl,MDLR
Punta Cana Intl,MDPC
Gregorio Luperon Intl,MDPP
Las Americas Intl,MDSD
San Isidro Ab,MDSI
Cibao Intl,MDST
Bananera,MGBN
Coban,MGCB
La Aurora,MGGT
Retalhuleu,MGRT
San Jose,MGSJ
Goloson Intl,MHLC
La Mesa Intl,MHLM
Guanaja,MHNJ
Juan Manuel Galvez Intl,MHRO
Tela,MHTE
Toncontin Intl,MHTG
Trujillo,MHTJ
Boscobel,MKBS
Norman Manley Intl,MKJP
Sangster Intl,MKJS
Ken Jones,MKKJ
Tinson Pen,MKTP
General Juan N Alvarez Intl,MMAA
Del Norte Intl,MMAN
Jesus Teran Intl,MMAS
Bahias De Huatulco Intl,MMBT
General Mariano Matamoros,MMCB
Ciudad Acuna Intl New,MMCC
Ciudad Del Carmen Intl,MMCE
Nuevo Casas Grandes,MMCG
Chilpancingo,MMCH
Culiacan Intl,MMCL
Chetumal Intl,MMCM
Ciudad Obregon Intl,MMCN
Ingeniero Alberto Acuna Ongay Intl,MMCP
Abraham Gonzalez Intl,MMCS
General R Fierro Villalobos Intl,MMCU
General Pedro Jose Mendez Intl,MMCV
Kenosha Regional Airport,\N
Cozumel Intl,MMCZ
Durango Intl,MMDO
Tepic,MMEP
Ensenada,MMES
Don Miguel Hidalgo Y Costilla Intl,MMGL
General Jose Maria Yanez Intl,MMGM
Tehuacan,MMHC
General Ignacio P Garcia Intl,MMHO
Colima,MMIA
Isla Mujeres,MMIM
Plan De Guadalupe Intl,MMIO
Ixtepec,MMIT
Lazaro Cardenas,MMLC
Valle Del Fuerte Intl,MMLM
Guanajuato Intl,MMLO
General Manuel Marquez De Leon Intl,MMLP
Loreto Intl,MMLT
General Servando Canales Intl,MMMA
Licenciado Manuel Crescencio Rejon Int,MMMD
General Rodolfo Sanchez Taboada Intl,MMML
General Francisco J Mujica Intl,MMMM
Minatitlan,MMMT
Monclova Intl,MMMV
Licenciado Benito Juarez Intl,MMMX
General Mariano Escobedo Intl,MMMY
General Rafael Buelna Intl,MMMZ
Nogales Intl,MMNG
Quetzalcoatl Intl,MMNL
Xoxocotlan Intl,MMOX
Tajin,MMPA
Hermanos Serdan Intl,MMPB
Ingeniero Juan Guillermo Villasana,MMPC
Puerto Penasco,MMPE
Piedras Negras Intl,MMPG
Licenciado Y Gen Ignacio Lopez Rayon,MMPN
Licenciado Gustavo Diaz Ordaz Intl,MMPR
Puerto Escondido Intl,MMPS
Queretaro Intercontinental,MMQT
General Lucio Blanco Intl,MMRX
Los Cabos Intl,MMSD
San Felipe Intl,MMSF
Ponciano Arriaga Intl,MMSP
Tlaxcala,MMTA
General Div P A Angel H Corzo Molina,MMTB
Torreon Intl,MMTC
Angel Albino Corzo,MMTG
General Abelardo L Rodriguez Intl,MMTJ
General Francisco Javier Mina Intl,MMTM
Tamuin,MMTN
Licenciado Adolfo Lopez Mateos Intl,MMTO
Tapachula Intl,MMTP
Cancun Intl,MMUN
C P A Carlos Rovirosa Intl,MMVA
General Heriberto Jara Intl,MMVR
General Leobardo C Ruiz Intl,MMZC
Ixtapa Zihuatanejo Intl,MMZH
Zamora,MMZM
Playa De Oro Intl,MMZO
Zapopan,MMZP
Bluefields,MNBL
Los Brasiles,MNBR
Leon,MNLN
Managua Intl,MNMG
Puerto Cabezas,MNPC
Bocas Del Toro Intl,MPBO
Cap Manuel Nino Intl,MPCH
Enrique Malek Intl,MPDA
Howard,MPHO
Marcos A Gelabert Intl,MPMG
Ruben Cantu,MPSA
Tocumen Intl,MPTO
Buenos Aires,MRBA
North Las Vegas Airport,\N
Coto 47,MRCC
Chacarita,MRCH
Brown County Airport,KGEO
El Carmen De Siquirres,MREC
Nuevo Palmar Sur,MRFI
Golfito,MRGF
Guapiles,MRGP
Daniel Oduber Quiros Intl,MRLB
Los Chiles,MRLC
Limon Intl,MRLM
Nosara,MRNS
Juan Santamaria Intl,MROC
Pandora,MRPD
Palmar Sur,MRPM
La Managua,MRQP
Santa Clara De Guapiles,MRSG
San Vito De Java,MRSV
El Salvador Intl,MSLP
Ilopango Intl,MSSS
Cayes,MTCA
Cap Haitien Intl,MTCH
Jacmel,MTJA
Toussaint Louverture Intl,MTPP
Gustavo Rizo,MUBA
Carlos Manuel De Cespedes,MUBY
Maximo Gomez,MUCA
Jardines Del Rey,MUCC
Jaime Gonzalez,MUCF
Vilo Acuna Intl,MUCL
Ignacio Agramonte Intl,MUCM
Antonio Maceo Intl,MUCU
Florida,MUFL
Guantanamo Bay Ns,MUGM
Mariana Grajales,MUGT
Jose Marti Intl,MUHA
Frank Pais Intl,MUHG
La Coloma,MULM
Orestes Acosta,MUMO
Sierra Maestra,MUMZ
Rafael Cabrera,MUNG
Playa Baracoa,MUPB
Pinar Del Rio,MUPR
San Antonio De Los Banos,MUSA
Abel Santamaria,MUSC
Santa Lucia,MUSL
Siguanea,MUSN
Sancti Spiritus,MUSS
Grand Geneva Resort Airport,\N
Juan Gualberto Gomez Intl,MUVR
Hermanos Ameijeiras,MUVT
Gerrard Smith Intl,MWCB
Owen Roberts Intl,MWCR
Clarence A Bain,MYAB
Fresh Creek,MYAF
Marsh Harbour,MYAM
San Andros,MYAN
Spring Point,MYAP
Sandy Point,MYAS
Treasure Cay,MYAT
Chub Cay,MYBC
Great Harbour Cay,MYBG
South Bimini,MYBS
De Kalb Taylor Municipal Airport,\N
Exuma Intl,MYEF
George Town,MYEG
North Eleuthera,MYEH
Governors Harbour,MYEM
Normans Cay,MYEN
Rock Sound,MYER
Staniel Cay,MYES
Grand Bahama Intl,MYGF
Matthew Town,MYIG
Deadmans Cay,MYLD
Stella Maris,MYLS
Mayaguana,MYMM
Lynden Pindling Intl,MYNN
Duncan Town,MYRD
New Port Nelson,MYRP
San Salvador,MYSM
Philip S W Goldson Intl,MZBZ
Aitutaki,NCAI
Rarotonga Intl,NCRG
Nadi Intl,NFFN
Nausori Intl,NFNA
Fua Amotu Intl,NFTF
Vavau Intl,NFTV
Bonriki Intl,NGTA
Tabiteuea North,NGTE
Maitland Airport,YMND
Wallis,NLWW
Faleolo Intl,NSFA
Pago Pago Intl,NSTU
Rurutu,NTAR
Tubuai,NTAT
Anaa,NTGA
Fangatau,NTGB
Tikehau,NTGC
Reao,NTGE
Fakarava,NTGF
Manihi,NTGI
Totegegie,NTGJ
Kaukura,NTGK
Makemo,NTGM
Puka Puka,NTGP
Takapoto,NTGT
Arutua,NTGU
Mataiva,NTGV
Takaroa,NTKR
Nuku Hiva,NTMD
Purude University Airport,\N
Bora Bora,NTTB
Rangiroa,NTTG
Huahine,NTTH
Moorea,NTTM
Hao,NTTO
Maupiti,NTTP
Raiatea,NTTR
Port Vila Bauerfield,NVVV
Kone,NWWD
Koumac,NWWK
Lifou,NWWL
Magenta,NWWM
Mare,NWWR
Touho,NWWU
Ouvea,NWWV
La Tontouta,NWWW
Auckland Intl,NZAA
Taupo,NZAP
Ardmore,NZAR
Christchurch Intl,NZCH
Chatham Islands,NZCI
Dunedin,NZDN
Gisborne,NZGS
Glentanner,NZGT
Hokitika,NZHK
Hamilton,NZHN
Hastings,NZHS
Kerikeri,NZKK
Kaitaia,NZKT
Alexandra,NZLX
Mount Cook,NZMC
Manapouri,NZMO
Masterton,NZMS
New Plymouth,NZNP
Nelson,NZNS
Invercargill,NZNV
Ohakea,NZOH
Oamaru,NZOU
Palmerston North,NZPM
Paraparaumu,NZPP
Queenstown,NZQN
Rotorua,NZRO
Waiouru,NZRU
South Pole Station,NZSP
Tauranga,NZTG
Timaru,NZTU
Pukaki,NZUK
Woodbourne,NZWB
Mcmurdo Station,NZWD
Wanaka,NZWF
Wigram,NZWG
Whakatane,NZWK
Wellington Intl,NZWN
Wairoa,NZWO
Whenuapai,NZWP
Whangarei,NZWR
Westport,NZWS
Wanganui,NZWU
Herat,OAHR
Jalalabad,OAJL
Kabul Intl,OAKB
Kandahar,OAKN
Maimana,OAMN
Mazar I Sharif,OAMS
Shindand,OASD
Sheberghan,OASG
Konduz,OAUZ
Bahrain Intl,OBBI
Shaikh Isa,OBBS
Abha,OEAB
Al Ahsa,OEAH
Al Baha,OEBA
Bisha,OEBH
Abqaiq,OEBQ
King Fahd Intl,OEDF
King Abdulaziz Ab,OEDR
King Abdullah Bin Abdulaziz,OEGN
Gassim,OEGS
Guriat,OEGT
Hail,OEHL
Jubail,OEJB
King Faisal Naval Base,OEJF
King Abdulaziz Intl,OEJN
King Khaled Military City,OEKK
Prince Mohammad Bin Abdulaziz,OEMA
Nejran,OENG
Qaisumah,OEPA
Pump Station 3,OEPC
Pump Station 6,OEPF
Pump Station 10,OEPJ
Rabigh,OERB
Rafha,OERF
King Khaled Intl,OERK
Ras Mishab,OERM
Arar,OERR
Ras Tanura,OERT
Sharurah,OESH
Mudgee Airport,YMDG
Sulayel,OESL
Tabuk,OETB
Taif,OETF
Thumamah,OETH
Ras Tanajib,OETN
Turaif,OETR
Miami University Airport,\N
Wejh,OEWJ
Yenbo,OEYN
Abadan,OIAA
Dezful,OIAD
Aghajari,OIAG
Gachsaran,OIAH
Shahid Asyaee,OIAI
Omidiyeh,OIAJ
Mahshahr,OIAM
Ahwaz,OIAW
Abumusa Island,OIBA
Bushehr,OIBB
Bastak,OIBH
Asaloyeh,OIBI
Kish Island,OIBK
Bandar Lengeh,OIBL
Khark Island,OIBQ
Sirri Island,OIBS
Lavan Island,OIBV
Shahid Ashrafi Esfahani,OICC
Sanandaj,OICS
Hesa,OIFE
Shahid Vatan Pour Air Base,OIFH
Kashan,OIFK
Esfahan Shahid Beheshti Intl,OIFM
Badr Air Base,OIFP
Rasht,OIGG
Delaware County Airport,\N
Arak,OIHR
Ghazvin Azadi,OIIA
Kushke Nosrat,OIIC
Doshan Tappeh,OIID
Imam Khomeini Intl,OIIE
Ghale Morghi,OIIG
Mehrabad Intl,OIII
Ghazvin,OIIK
Naja,OIIM
Bandar Abbass Intl,OIKB
Jiroft,OIKJ
Kerman,OIKK
Havadarya,OIKP
Dayrestan,OIKQ
Sirjan,OIKY
Birjand,OIMB
Sarakhs,OIMC
Shahroud,OIMJ
Whitsunday Airstrip,YWHI
Tabas,OIMT
Kalaleh,OINE
Ramsar,OINR
Aeropuerto de Rafaela,\N
Fasa,OISF
Jahrom,OISJ
Lamerd,OISR
Shiraz Shahid Dastghaib Intl,OISS
Khoy,OITK
Sabadell Airport,LELL
Tabriz Intl,OITT
Zanjan,OITZ
Yazd Shahid Sadooghi,OIYY
Zabol,OIZB
Chah Bahar,OIZC
Zahedan Intl,OIZH
Iran Shahr,OIZI
Saravan,OIZS
Queen Alia Intl,OJAI
Marka Intl,OJAM
Aqaba King Hussein Intl,OJAQ
Prince Hasan,OJHF
Jerusalem,OJJR
King Hussein,OJMF
Kuwait Intl,OKBK
Rafic Hariri Intl,OLBA
Rene Mouawad,OLKA
Abu Dhabi Intl,OMAA
Bateen,OMAD
Al Hamra Aux,OMAH
Jebel Dhana,OMAJ
Reykjahlid Airport,BIRL
Al Dhafra,OMAM
Arzanah,OMAR
Das Island,OMAS
Zirku,OMAZ
Dubai Intl,OMDB
Fujairah Intl,OMFJ
Ras Al Khaimah Intl,OMRK
Sharjah Intl,OMSJ
Khasab,OOKB
Masirah,OOMA
Seeb Intl,OOMS
Salalah,OOSA
Thumrait,OOTH
Bhagatanwala,OPBG
Spray View Airport,FVSV
Lyon Part-Dieu Railway,\N
Faisalabad Intl,OPFA
Gwadar,OPGD
Gilgit,OPGT
Shahbaz Ab,OPJA
Jinnah Intl,OPKC
Allama Iqbal Intl,OPLA
Walton,OPLH
Mangla,OPMA
Muzaffarabad,OPMF
Mianwali,OPMI
Moenjodaro,OPMJ
Masroor,OPMR
Multan Intl,OPMT
Nawabshah,OPNH
Okara,OPOK
Panjgur,OPPG
Pasni,OPPI
Peshawar Intl,OPPS
Qasim,OPQS
Quetta,OPQT
Sheikh Zayed,OPRK
Chaklala,OPRN
Risalpur,OPRS
Rawalakot,OPRT
Point Roberts Airpark,K1RL
Sukkur,OPSK
Saidu Sharif,OPSS
Sui,OPSU
Talhar,OPTH
Wana,OPWN
Zhob,OPZB
Basrah Intl,ORMM
Aleppo Intl,OSAP
Damascus Intl,OSDI
Deir Zzor,OSDZ
Bassel Al Assad Intl,OSLK
Palmyra,OSPR
Doha Intl,OTBD
Canton,PCIS
Rota Intl,PGRO
Francisco C Ada Saipan Intl,PGSN
Andersen Afb,PGUA
Guam Intl,PGUM
Tinian Intl,PGWT
Scone Airport,YSCO
Marshall Islands Intl,PKMJ
Dyess Aaf,PKRO
Bucholz Aaf,PKWA
Christmas Island,PLCH
Midway Atoll,PMDY
Chuuk Intl,PTKK
Pohnpei Intl,PTPN
Babelthuap,PTRO
Kosrae,PTSA
Yap Intl,PTYA
Shang Yi,RCBS
Pingtung South,RCDC
Longtan,RCDI
Fengnin,RCFN
Lyudao,RCGI
Kaohsiung Intl,RCKH
Chiayi,RCKU
Lanyu,RCLY
Ching Chuan Kang Ab,RCMQ
Cessnock Airport,YCNK
Tainan,RCNN
Hsinchu,RCPO
Magong,RCQC
Jhihhang,RCQS
Pingtung North,RCSQ
Sungshan,RCSS
Taoyuan Intl,RCTP
Wang An,RCWA
Hualien,RCYU
Narita Intl,RJAA
Matsumoto,RJAF
Hyakuri,RJAH
Minami Torishima,RJAM
Iwo Jima,RJAW
Nanki Shirahama,RJBD
Kohnan,RJBK
Obihiro,RJCB
New Chitose,RJCC
Hakodate,RJCH
Chitose,RJCJ
Memanbetsu,RJCM
Nakashibetsu,RJCN
Tokachi,RJCT
Wakkanai,RJCW
Iki,RJDB
Yamaguchi Ube,RJDC
Tsushima,RJDT
Monbetsu,RJEB
Asahikawa,RJEC
Okushiri,RJEO
Rishiri,RJER
Ashiya,RJFA
Yakushima,RJFC
Fukue,RJFE
Fukuoka,RJFF
New Tanegashima,RJFG
Kagoshima,RJFK
Miyazaki,RJFM
Nyutabaru,RJFN
Oita,RJFO
New Kitakyushu,RJFR
Kumamoto,RJFT
Nagasaki,RJFU
Kanoya,RJFY
Tsuiki,RJFZ
Amami,RJKA
Okierabu,RJKB
Tokunoshima,RJKN
Fukui,RJNF
Gifu,RJNG
Hamamatsu,RJNH
Komatsu,RJNK
Oki,RJNO
Toyama,RJNT
Shizuhama,RJNY
Hiroshima,RJOA
Okayama,RJOB
Izumo,RJOC
Hofu,RJOF
Miho,RJOH
Iwakuni Mcas,RJOI
Kochi,RJOK
Matsuyama,RJOM
Osaka Intl,RJOO
Tottori,RJOR
Tokushima,RJOS
Takamatsu,RJOT
Yao,RJOY
Ozuki,RJOZ
Aomori,RJSA
Yamagata,RJSC
Sado,RJSD
Hachinohe,RJSH
Hanamaki,RJSI
Akita,RJSK
Misawa Ab,RJSM
Sendai,RJSS
Matsushima,RJST
Sazena,LKSZ
Atsugi Naf,RJTA
